index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
0,267230.12,0.3852334,0.41540473536642347,,0.7937079765043465,0.7000040571954316,A549,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,45.207,0.5718571,0.5795039665277318,,-0.7937079764340208,-0.7000046160942616,A549,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,164180.27,0.4033045,0.4245353458727844,,0.8032617697789417,0.6609300619597085,NCI-H929,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,186.04504,0.5575502,0.5619355919896462,,-0.8032617699110584,-0.6609300619597085,NCI-H929,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,261507.17,0.3545805,0.39357589020894024,,0.7908931631874735,0.515188424370137,HG03575,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,44.04734,0.40998244,0.44312249800348313,,0.7908931633339613,0.515188424370137,HG03575,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,111314.69,0.39340585,0.42080269629626316,,0.7677224177538357,0.5679590462755938,PC-3,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,159697.61,0.46676764,0.4817608308183337,,0.7677224176427817,0.5679590462755938,PC-3,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,0.7327893,0.28903827,0.3274942079607005,,0.5194353390198441,0.32928960754451797,GM21381,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
1,0.83365744,0.27847177,0.33797996089716337,,0.6105921602442049,0.5728181943063879,GM23338,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
2,0.61547136,0.26277283,0.31874526805731235,,0.5813665123338669,0.602638834567856,HepG2,raw,whole,1,datasets/complete/peak_centered/i_3072_w_1/,0.001,multinomialnll_mse_reg,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133014-feom6rqk
